X,Y,Subtracted,Original 1,Original 2
2133,938,4,40,36
2133,944,5,41,36
2134,944,4,54,50
2134,945,3,37,34
2134,951,6,43,37
2138,994,2,33,31
2140,1076,6,45,39
2142,1076,4,59,55
2142,1077,6,42,36
2141,1082,5,41,36
2141,1083,1,38,37
2142,1083,1,32,31
2141,1095,10,58,48
2142,1095,12,52,40
2143,1127,9,56,47
2143,1146,3,61,58
2143,1147,19,66,47
2143,1152,11,53,42
2142,1153,20,59,39
2143,1153,6,59,53
2142,1159,12,56,44
2143,1178,5,50,45
2143,1179,4,41,37
2143,1204,1,63,62
2142,1229,8,48,40
2142,1236,4,52,48
2142,1240,5,36,31
2141,1242,2,57,55
2142,1242,5,64,59
2141,1243,3,34,31
2142,1243,8,42,34
2141,1248,5,61,56
2142,1248,5,59,54
2141,1255,2,55,53
2142,1255,2,52,50
2140,1273,10,41,31
2141,1273,17,62,45
2141,1274,19,58,39
