X,Y,Subtracted,Original 1,Original 2
338,550,1,36,35
2129,899,11,77,66
2129,900,11,77,66
2130,912,7,64,57
2131,912,15,108,93
2132,917,12,44,32
2130,918,3,55,52
2131,919,6,54,48
2133,924,4,64,60
2133,925,1,67,66
2132,929,1,54,53
2133,929,4,61,57
2133,930,3,116,113
2134,930,8,61,53
2133,931,1,103,102
2134,931,5,53,48
2132,932,6,40,34
2133,935,12,54,42
2132,936,5,97,92
2134,936,3,76,73
2132,937,13,72,59
2133,937,1,95,94
2134,937,7,46,39
2133,941,11,86,75
2134,941,3,52,49
2133,942,6,128,122
2133,943,6,121,115
2134,943,9,134,125
2135,943,9,87,78
2133,944,12,48,36
2134,944,2,60,58
2135,948,12,52,40
2135,950,14,59,45
2133,954,3,43,40
2133,955,6,74,68
2134,960,11,90,79
2135,960,3,63,60
2136,960,25,71,46
2136,961,10,79,69
2135,963,11,48,37
2135,966,5,59,54
2136,966,4,67,63
2136,967,4,121,117
2135,968,8,175,167
2135,969,6,80,74
2136,969,11,55,44
2135,972,2,58,56
2136,972,15,61,46
2136,973,7,110,103
2136,975,4,68,64
2135,979,12,78,66
2135,980,12,78,66
2136,980,18,123,105
2137,980,4,102,98
2136,981,14,71,57
2136,985,6,51,45
2137,985,22,84,62
2137,986,27,124,97
2137,987,16,90,74
2137,991,52,98,46
2138,991,20,53,33
2137,992,29,143,114
2136,993,1,52,51
2137,993,51,118,67
2137,997,2,62,60
2138,999,14,152,138
2139,999,5,66,61
2137,1004,5,46,41
2138,1004,9,70,61
2138,1005,2,99,97
2139,1005,1,55,54
2137,1006,12,50,38
2138,1006,10,65,55
2139,1011,4,67,63
2139,1012,4,62,58
2138,1016,10,54,44
2139,1016,14,50,36
2137,1017,12,43,31
2140,1018,11,62,51
2138,1023,3,48,45
2139,1023,8,76,68
2140,1023,8,47,39
2138,1024,3,69,66
2139,1024,11,141,130
2140,1024,9,67,58
2139,1029,9,58,49
2140,1029,8,50,42
2138,1031,6,44,38
2139,1035,13,65,52
2139,1036,19,112,93
2140,1036,3,102,99
2141,1036,6,40,34
2139,1037,11,102,91
2140,1037,2,106,104
2141,1037,3,41,38
2140,1038,1,54,53
2140,1042,10,76,66
2140,1043,23,110,87
2141,1043,4,45,41
2139,1044,17,50,33
2140,1044,38,87,49
2140,1049,11,120,109
2139,1050,11,61,50
2141,1050,5,66,61
2139,1055,20,67,47
2140,1055,13,97,84
2141,1055,17,81,64
2140,1056,25,84,59
2141,1056,9,78,69
2140,1057,7,43,36
2141,1061,10,74,64
2140,1063,5,60,55
2142,1063,3,41,38
2142,1068,5,63,58
2142,1069,2,43,41
2140,1073,23,118,95
2141,1073,25,151,126
2140,1074,6,141,135
2141,1074,1,177,176
2140,1075,31,154,123
2141,1075,38,183,145
2142,1075,22,132,110
2143,1075,7,39,32
2142,1080,3,105,102
2140,1081,4,57,53
2142,1081,8,123,115
2140,1082,7,66,59
2141,1082,11,113,102
2142,1082,14,117,103
2141,1087,6,123,117
2142,1087,3,106,103
2142,1088,10,101,91
2141,1089,27,89,62
2142,1089,5,53,48
2141,1092,24,70,46
2142,1093,8,99,91
2143,1093,1,61,60
2140,1094,20,56,36
2142,1094,36,135,99
2143,1094,1,71,70
2142,1099,1,77,76
2143,1099,8,60,52
2143,1100,7,55,48
2142,1101,1,111,110
2143,1101,5,83,78
2142,1105,31,80,49
2143,1105,21,68,47
2142,1106,11,111,100
2143,1106,9,65,56
2141,1107,6,104,98
2143,1107,23,85,62
2141,1108,7,61,54
2143,1108,18,56,38
2141,1112,5,62,57
2142,1112,7,97,90
2141,1114,4,62,58
2142,1114,8,88,80
2141,1119,2,85,83
2142,1119,11,142,131
2143,1119,7,99,92
2141,1120,6,54,48
2142,1120,11,100,89
2143,1120,2,90,88
2142,1124,1,104,103
2141,1125,3,104,101
2142,1125,6,155,149
2141,1126,5,80,75
2142,1126,14,139,125
2144,1126,6,50,44
2141,1127,9,54,45
2142,1127,5,117,112
2142,1130,3,48,45
2143,1130,2,47,45
2142,1131,5,111,106
2143,1131,12,123,111
2142,1132,8,129,121
2143,1132,21,150,129
2142,1133,6,110,104
2143,1133,20,131,111
2143,1134,8,72,64
2143,1137,15,99,84
2143,1138,13,126,113
2141,1144,14,74,60
2142,1144,100,190,90
2141,1145,15,85,70
2143,1145,11,140,129
2143,1146,26,100,74
2142,1150,25,98,73
2144,1150,4,55,51
2141,1151,12,79,67
2143,1151,76,178,102
2144,1151,5,88,83
2143,1153,19,87,68
2141,1157,5,59,54
2143,1157,11,172,161
2143,1158,5,175,170
2144,1158,11,92,81
2142,1159,10,91,81
2143,1159,6,147,141
2142,1162,28,69,41
2143,1163,5,111,106
2142,1164,21,132,111
2143,1165,8,87,79
2144,1170,2,63,61
2142,1171,3,107,104
2143,1171,4,124,120
2144,1171,5,50,45
2142,1172,7,75,68
2142,1175,4,80,76
2141,1176,26,61,35
2142,1176,15,148,133
2141,1177,18,88,70
2142,1177,9,176,167
2143,1177,18,162,144
2144,1177,1,58,57
2141,1182,17,58,41
2142,1182,18,124,106
2143,1182,18,99,81
2141,1183,9,81,72
2143,1183,7,105,98
2144,1183,3,86,83
2143,1184,4,112,108
2144,1184,5,69,64
2142,1185,8,45,37
2143,1185,17,56,39
2142,1188,7,72,65
2142,1189,9,115,106
2144,1189,3,45,42
2142,1190,11,102,91
2144,1190,1,46,45
2142,1191,17,66,49
2142,1194,24,96,72
2143,1194,29,91,62
2141,1195,2,72,70
2144,1195,12,75,63
2141,1196,2,59,57
2142,1197,18,93,75
2143,1197,17,141,124
2143,1200,1,61,60
2141,1202,19,83,64
2142,1202,17,151,134
2141,1203,7,68,61
2142,1203,6,128,122
2144,1203,6,74,68
2142,1207,1,87,86
2143,1207,4,107,103
2144,1208,9,73,64
2142,1209,1,158,157
2143,1209,7,136,129
2144,1209,10,54,44
2141,1210,2,43,41
2142,1210,7,90,83
2143,1210,14,81,67
2143,1214,1,82,81
2143,1215,2,82,80
2144,1215,2,45,43
2141,1216,16,79,63
2141,1220,7,74,67
2143,1220,20,76,56
2143,1221,2,106,104
2141,1222,15,70,55
2142,1222,13,105,92
2143,1222,40,81,41
2142,1226,18,156,138
2143,1226,18,83,65
2141,1229,14,87,73
2143,1229,13,82,69
2141,1232,14,92,78
2141,1233,8,169,161
2143,1234,6,102,96
2143,1235,2,111,109
2141,1238,7,61,54
2143,1239,4,116,112
2141,1240,20,186,166
2142,1240,4,124,120
2143,1240,2,97,95
2141,1242,11,113,102
2142,1242,3,55,52
2140,1246,22,63,41
2141,1246,5,206,201
2142,1246,17,149,132
2143,1246,15,92,77
2140,1247,26,91,65
2141,1247,3,189,186
2142,1247,11,146,135
2143,1247,4,95,91
2141,1248,1,117,116
2142,1248,9,111,102
2141,1251,1,111,110
2142,1251,3,100,97
2143,1252,4,69,65
2143,1253,4,84,80
2142,1254,4,103,99
2143,1254,7,40,33
2141,1258,5,128,123
2142,1258,20,136,116
2143,1258,14,80,66
2141,1259,17,130,113
2142,1259,9,126,117
2141,1261,23,70,47
2142,1261,32,72,40
2141,1264,5,118,113
2142,1264,9,93,84
2140,1265,9,120,111
2141,1265,5,141,136
2141,1267,1,117,116
2142,1267,2,79,77
2141,1272,5,216,211
2142,1272,6,95,89
2142,1273,10,94,84
2140,1277,2,89,87
2140,1278,22,133,111
2141,1278,17,162,145
2139,1279,9,48,39
2140,1279,27,95,68
2141,1279,9,90,81
2140,1280,21,56,35
2141,1280,21,62,41
