X,Y,Subtracted,Original 1,Original 2
2133,936,1,52,51
2133,942,10,48,38
2133,948,2,38,36
2134,948,4,42,38
2135,960,18,56,38
2135,967,4,42,38
2136,973,2,33,31
2136,980,3,36,33
2137,992,12,59,47
2138,998,11,48,37
2142,1073,3,37,34
2142,1074,6,57,51
2142,1075,2,36,34
2141,1080,16,75,59
2142,1080,9,56,47
2141,1081,7,41,34
2141,1099,4,45,41
2141,1100,4,45,41
2142,1106,2,47,45
2141,1107,1,32,31
2142,1107,2,37,35
2141,1112,5,44,39
2142,1112,5,66,61
2142,1125,17,61,44
2142,1131,5,44,39
2143,1131,29,63,34
2143,1132,24,58,34
2143,1144,7,79,72
2142,1145,4,58,54
2142,1146,6,38,32
2142,1151,3,77,74
2142,1163,8,76,68
2143,1163,6,75,69
2143,1170,1,41,40
2143,1175,5,41,36
2142,1176,12,44,32
2143,1176,11,75,64
2143,1177,9,44,35
2142,1183,3,55,52
2142,1195,15,63,48
2142,1200,5,37,32
2142,1201,14,80,66
2143,1201,4,58,54
2142,1202,12,74,62
2143,1202,6,59,53
2142,1226,8,44,36
2141,1227,6,43,37
2142,1227,19,69,50
2142,1228,10,42,32
2141,1233,3,43,40
2141,1234,2,36,34
2141,1239,7,72,65
2143,1239,1,33,32
2141,1240,4,79,75
2142,1240,5,74,69
2141,1241,3,42,39
2141,1245,5,64,59
2141,1246,6,77,71
2141,1247,8,62,54
2142,1253,4,36,32
2141,1258,29,79,50
2141,1259,35,71,36
2141,1265,3,59,56
2140,1270,11,48,37
2141,1270,5,41,36
2140,1271,1,75,74
2141,1272,1,48,47
2140,1276,3,35,32
2140,1277,7,61,54
2141,1277,7,59,52
2140,1278,9,56,47
2141,1278,10,55,45
