X,Y,Subtracted,Original 1,Original 2
2191,970,31,68,37
2191,975,11,51,40
2191,982,1,77,76
2192,982,5,55,50
2191,983,13,76,63
2192,983,19,86,67
2191,988,9,48,39
2192,988,5,48,43
2191,989,15,60,45
2192,995,4,109,105
2193,995,4,53,49
2192,996,4,49,45
2192,1007,28,162,134
2193,1007,6,96,90
2193,1008,10,101,91
2193,1009,8,59,51
2192,1013,4,89,85
2193,1013,4,107,103
2193,1014,3,142,139
2193,1015,3,110,107
2192,1020,10,70,60
2193,1025,7,78,71
2193,1026,25,140,115
2193,1027,26,111,85
2194,1027,3,44,41
2192,1032,7,62,55
2194,1032,4,90,86
2193,1038,9,61,52
2194,1038,5,60,55
2193,1039,9,113,104
2194,1039,2,114,112
2193,1040,1,57,56
2194,1040,10,62,52
2193,1044,4,47,43
2194,1044,10,56,46
2193,1050,2,54,52
2194,1050,3,60,57
2194,1051,9,120,111
2195,1051,16,53,37
2194,1052,3,107,104
2195,1058,6,45,39
2193,1063,2,37,35
2194,1063,4,53,49
2193,1064,11,77,66
2195,1064,14,76,62
2193,1065,15,69,54
2194,1065,8,73,65
2195,1065,18,69,51
2194,1071,7,143,136
2195,1076,2,40,38
2195,1077,2,63,61
2194,1082,3,46,43
2195,1082,1,40,39
2194,1083,9,93,84
2195,1083,6,84,78
2194,1089,2,69,67
2194,1095,12,64,52
2194,1096,6,71,65
2194,1097,21,65,44
2194,1102,1,55,54
2195,1102,8,94,86
2194,1103,5,85,80
2194,1108,10,63,53
2195,1108,1,54,53
2194,1110,12,52,40
2194,1114,3,41,38
2195,1114,5,46,41
2194,1115,6,84,78
2195,1115,12,89,77
2194,1116,5,61,56
2195,1116,9,66,57
2194,1121,6,95,89
2195,1121,15,112,97
2194,1122,12,89,77
2195,1122,24,126,102
2195,1123,7,58,51
2195,1128,2,77,75
2196,1134,3,40,37
2194,1136,2,40,38
2195,1136,3,35,32
2194,1140,2,57,55
2195,1140,11,49,38
2194,1141,2,85,83
2195,1141,13,74,61
2195,1146,3,84,81
2194,1147,11,212,201
2195,1147,4,115,111
2195,1148,1,110,109
2193,1154,1,45,44
2194,1154,5,102,97
2195,1154,8,107,99
2196,1154,2,49,47
2194,1155,10,48,38
2195,1155,12,59,47
2194,1160,18,85,67
2195,1160,15,76,61
2195,1161,7,55,48
2195,1166,7,62,55
2195,1167,13,85,72
2193,1172,3,48,45
2194,1172,4,70,66
2193,1173,1,77,76
2194,1173,1,103,102
2192,1185,2,38,36
2194,1185,25,93,68
2194,1186,20,103,83
2193,1191,10,134,124
2192,1192,7,38,31
2193,1192,18,199,181
2194,1192,22,74,52
2193,1193,11,146,135
2194,1193,10,81,71
2193,1197,2,98,96
2194,1197,27,67,40
2194,1198,10,124,114
2192,1199,17,76,59
2194,1200,6,77,71
2194,1204,13,81,68
2192,1206,19,85,66
2193,1206,12,102,90
2194,1206,15,88,73
2192,1211,16,93,77
2194,1211,1,50,49
2192,1212,3,83,80
2194,1212,18,69,51
2192,1218,24,106,82
2194,1218,3,43,40
2193,1223,10,131,121
2191,1224,18,80,62
2193,1224,4,140,136
2194,1224,5,64,59
2191,1225,3,57,54
2192,1225,4,143,139
2193,1225,4,136,132
2194,1225,11,54,43
2192,1226,12,84,72
2193,1229,12,56,44
2192,1231,15,169,154
2191,1232,2,57,55
2193,1232,11,47,36
2192,1239,1,50,49
2192,1242,6,45,39
2191,1243,22,123,101
2192,1243,8,99,91
2193,1243,5,49,44
2191,1244,25,168,143
2192,1244,8,99,91
2193,1244,5,49,44
2191,1245,1,95,94
2192,1245,6,45,39
2191,1249,97,167,70
2190,1251,16,64,48
2191,1251,53,177,124
2192,1251,11,48,37
2191,1256,18,167,149
2192,1256,4,73,69
2191,1257,3,154,151
2192,1257,4,53,49
2191,1261,22,53,31
2191,1262,13,68,55
2189,1263,6,46,40
2190,1263,1,109,108
2190,1264,6,44,38
2189,1268,3,40,37
2190,1268,11,78,67
2190,1269,5,138,133
2191,1269,3,102,99
2190,1270,1,83,82
2190,1274,6,70,64
2191,1274,5,39,34
2190,1275,17,145,128
2191,1275,3,86,83
2190,1276,19,147,128
2191,1276,7,80,73
2190,1277,9,73,64
2189,1281,16,174,158
2190,1281,20,91,71
2191,1281,1,72,71
2190,1282,3,76,73
2188,1283,7,49,42
2189,1283,35,181,146
2190,1283,30,75,45
2189,1287,8,125,117
2190,1287,13,61,48
2188,1288,12,65,53
2189,1289,73,141,68
2190,1289,14,64,50
2188,1294,43,83,40
2190,1294,23,81,58
2189,1295,5,118,113
2187,1300,2,64,62
2188,1300,3,70,67
2189,1300,5,84,79
2189,1306,14,53,39
2188,1307,1,142,141
2189,1307,16,96,80
2189,1308,11,79,68
2187,1312,20,56,36
2187,1313,70,207,137
2188,1313,33,98,65
2187,1314,10,225,215
2187,1315,29,188,159
2186,1319,25,74,49
2187,1319,101,169,68
2188,1320,10,70,60
2187,1321,102,185,83
2188,1321,22,87,65
2186,1327,7,160,153
2187,1327,42,144,102
2186,1328,8,66,58
2186,1332,27,89,62
2185,1333,29,94,65
2187,1333,29,79,50
2186,1334,15,77,62
2185,1339,12,156,144
2186,1339,28,157,129
2187,1339,19,60,41
2185,1340,12,143,131
2186,1340,28,136,108
2184,1345,18,138,120
2185,1345,13,178,165
2186,1345,8,89,81
2184,1347,17,101,84
2185,1347,21,148,127
2186,1347,21,74,53
2183,1351,6,62,56
2185,1351,1,123,122
2186,1351,4,54,50
2185,1352,8,98,90
2186,1352,13,64,51
2185,1353,7,57,50
1091,1717,1,34,33
