X,Y,Subtracted,Original 1,Original 2
2191,970,20,68,48
2191,971,9,49,40
2191,976,5,92,87
2191,977,24,60,36
2191,981,7,54,47
2192,983,3,86,83
2192,984,1,32,31
2191,989,4,60,56
2192,994,3,62,59
2191,995,4,43,39
2192,995,2,109,107
2193,995,1,53,52
2192,1002,17,53,36
2192,1007,22,162,140
2193,1007,12,96,84
2193,1009,6,59,53
2192,1013,12,89,77
2193,1013,23,107,84
2192,1014,10,76,66
2193,1014,31,142,111
2193,1015,23,110,87
2193,1019,9,60,51
2192,1020,12,70,58
2193,1020,5,97,92
2193,1021,6,65,59
2193,1025,8,78,70
2192,1026,5,39,34
2193,1026,9,140,131
2193,1027,4,111,107
2193,1032,3,121,118
2193,1033,1,87,86
2193,1040,7,57,50
2194,1040,9,62,53
2193,1044,9,47,38
2194,1044,5,56,51
2193,1045,14,91,77
2194,1045,10,104,94
2193,1046,6,61,55
2194,1046,3,64,61
2193,1050,6,54,48
2194,1050,13,60,47
2193,1051,6,101,95
2194,1051,19,120,101
2195,1051,18,53,35
2193,1052,1,95,94
2194,1052,10,107,97
2193,1058,1,63,62
2194,1058,5,88,83
2195,1058,3,45,42
2194,1059,8,51,43
2194,1064,7,76,69
2195,1064,2,76,74
2193,1065,5,69,64
2194,1065,19,73,54
2194,1069,7,44,37
2194,1076,14,63,49
2194,1077,11,95,84
2195,1077,9,63,54
2194,1078,7,46,39
2194,1082,3,46,43
2195,1082,8,40,32
2194,1083,8,93,85
2195,1083,11,84,73
2194,1090,3,65,62
2195,1090,1,71,70
2195,1091,3,41,38
2193,1095,1,33,32
2194,1096,2,71,69
2194,1097,27,65,38
2196,1102,11,52,41
2194,1108,9,63,54
2195,1108,7,54,47
2194,1109,4,83,79
2194,1110,11,52,41
2195,1110,10,42,32
2194,1114,2,41,39
2195,1114,3,46,43
2194,1115,3,84,81
2195,1115,5,89,84
2194,1116,8,61,53
2195,1116,4,66,62
2195,1120,3,43,40
2195,1121,5,112,107
2194,1122,9,89,80
2195,1122,14,126,112
2195,1123,3,58,55
2194,1134,5,64,59
2195,1134,11,84,73
2193,1135,4,35,31
2194,1135,1,91,90
2195,1140,13,49,36
2194,1141,6,85,79
2195,1141,25,74,49
2194,1142,3,39,36
2194,1146,12,90,78
2194,1147,7,212,205
2195,1148,15,110,95
2194,1149,4,39,35
2194,1153,2,104,102
2195,1153,15,96,81
2194,1154,3,102,99
2195,1154,18,107,89
2195,1155,3,59,56
2194,1160,11,85,74
2195,1160,10,76,66
2194,1161,9,58,49
2195,1161,6,55,49
2194,1165,3,51,48
2194,1167,5,135,130
2195,1168,1,32,31
2193,1172,5,48,43
2194,1172,6,70,64
2193,1173,6,77,71
2194,1173,5,103,98
2193,1178,3,57,54
2193,1179,6,106,100
2194,1179,11,124,113
2195,1179,11,53,42
2193,1180,5,95,90
2194,1180,11,107,96
2193,1181,1,45,44
2194,1185,10,93,83
2194,1186,6,103,97
2194,1187,18,57,39
2193,1191,7,134,127
2192,1192,3,38,35
2193,1192,18,199,181
2194,1192,16,74,58
2194,1193,27,81,54
2194,1197,13,67,54
2192,1198,21,78,57
2194,1198,22,124,102
2192,1199,12,76,64
2194,1199,20,103,83
2193,1200,3,55,52
2194,1200,1,77,76
2192,1206,4,85,81
2193,1206,6,102,96
2194,1206,4,88,84
2192,1211,8,93,85
2194,1212,10,69,59
2193,1213,6,63,57
2192,1218,3,106,103
2193,1218,7,196,189
2192,1219,23,75,52
2193,1219,40,151,111
2193,1223,18,131,113
2193,1224,5,140,135
2191,1225,20,57,37
2193,1225,11,136,125
2194,1225,8,54,46
2192,1226,13,84,71
2193,1229,12,56,44
2191,1230,4,50,46
2191,1231,8,72,64
2192,1231,16,169,153
2193,1232,16,47,31
2192,1237,20,184,164
2192,1238,4,90,86
2192,1243,11,99,88
2191,1244,18,168,150
2192,1244,11,99,88
2191,1245,4,95,91
2191,1249,8,167,159
2192,1249,3,46,43
2192,1250,1,65,64
2190,1251,9,64,55
2191,1251,25,177,152
2190,1256,6,82,76
2192,1256,22,73,51
2192,1257,2,53,51
2191,1261,9,53,44
2190,1262,14,68,54
2191,1262,7,68,61
2190,1263,9,109,100
2191,1263,2,69,67
2192,1263,3,36,33
2191,1264,11,58,47
2190,1268,4,78,74
2191,1269,1,102,101
2189,1274,25,83,58
2189,1275,13,157,144
2191,1275,7,86,79
2189,1276,24,164,140
2191,1276,31,80,49
2189,1277,27,97,70
2189,1281,55,174,119
2190,1281,31,91,60
2191,1281,22,72,50
2189,1282,2,188,186
2188,1283,8,49,41
2189,1283,33,181,148
2190,1283,9,75,66
2190,1287,22,61,39
2188,1288,6,65,59
2189,1289,72,141,69
2190,1289,22,64,42
2190,1295,1,65,64
2188,1300,1,70,69
2189,1300,4,84,80
2186,1301,2,38,36
2187,1301,3,45,42
2188,1301,8,183,175
2189,1301,12,77,65
2189,1306,12,53,41
2189,1307,14,96,82
2189,1308,12,79,67
2187,1312,19,56,37
2187,1313,83,207,124
2189,1313,26,60,34
2187,1314,10,225,215
2187,1315,35,188,153
2186,1319,16,74,58
2187,1319,5,169,164
2188,1319,28,68,40
2188,1320,8,70,62
2187,1321,91,185,94
2188,1321,27,87,60
2187,1325,49,93,44
2187,1327,43,144,101
2185,1328,4,43,39
2186,1328,1,66,65
2186,1334,1,77,76
2187,1334,4,37,33
2185,1339,8,156,148
2186,1339,19,157,138
2187,1339,8,60,52
2185,1340,8,143,135
2186,1340,18,136,118
2187,1340,6,40,34
2185,1341,5,61,56
2186,1341,2,47,45
2184,1345,11,138,127
2185,1345,13,178,165
2186,1345,10,89,79
2184,1347,13,101,88
2185,1347,16,148,132
2186,1347,10,74,64
2183,1351,9,62,53
2186,1351,8,54,46
2184,1352,7,99,92
2186,1352,4,64,60
2184,1353,4,56,52
2186,1353,2,35,33
1091,1717,1,34,33
