X,Y,Subtracted,Original 1,Original 2
2192,975,14,47,33
2191,976,21,159,138
2192,976,2,36,34
2191,977,33,79,46
2192,981,5,46,41
2192,982,5,65,60
2193,982,5,37,32
2191,983,14,116,102
2191,987,1,61,60
2191,988,6,86,80
2192,988,1,75,74
2191,989,9,68,59
2192,993,16,48,32
2193,993,13,44,31
2192,994,14,108,94
2193,994,14,75,61
2193,995,1,75,74
2192,1000,13,71,58
2192,1002,10,56,46
2193,1006,1,84,83
2192,1007,15,178,163
2193,1007,47,149,102
2194,1007,14,68,54
2192,1008,5,62,57
2192,1012,8,95,87
2193,1012,36,90,54
2192,1014,23,114,91
2193,1014,8,114,106
2194,1014,7,73,66
2193,1018,3,47,44
2192,1019,3,67,64
2193,1019,3,115,112
2194,1019,26,79,53
2192,1020,17,88,71
2194,1020,10,94,84
2193,1025,4,121,117
2192,1026,10,46,36
2193,1026,19,197,178
2193,1027,14,134,120
2192,1031,7,48,41
2193,1031,13,172,159
2194,1032,11,75,64
2193,1037,8,114,106
2193,1038,4,154,150
2194,1038,18,116,98
2195,1038,19,68,49
2193,1039,14,134,120
2194,1039,10,151,141
2194,1040,12,46,34
2193,1044,11,83,72
2194,1044,1,102,101
2193,1045,12,103,91
2194,1045,8,135,127
2193,1046,10,47,37
2194,1046,5,62,57
2193,1050,2,65,63
2194,1050,2,71,69
2195,1050,2,55,53
2194,1057,17,131,114
2194,1058,7,81,74
2195,1058,10,63,53
2194,1063,3,146,143
2194,1064,29,105,76
2194,1065,9,50,41
2195,1065,4,70,66
2194,1069,15,80,65
2194,1070,7,106,99
2196,1070,19,54,35
2194,1075,11,49,38
2195,1075,19,80,61
2195,1076,8,128,120
2196,1076,4,51,47
2195,1081,9,43,34
2194,1082,2,100,98
2195,1082,3,90,87
2194,1084,8,83,75
2195,1084,5,46,41
2195,1088,2,62,60
2195,1089,23,98,75
2194,1090,6,60,54
2194,1094,8,57,49
2195,1095,22,132,110
2194,1096,10,100,90
2196,1096,1,66,65
2195,1101,46,119,73
2195,1102,21,144,123
2195,1107,14,92,78
2195,1108,14,143,129
2195,1109,9,115,106
2195,1110,2,41,39
2195,1114,5,111,106
2195,1115,11,111,100
2195,1116,11,50,39
2194,1120,29,115,86
2195,1120,11,78,67
2196,1120,21,61,40
2194,1121,16,130,114
2194,1122,22,95,73
2195,1122,2,70,68
2194,1126,4,63,59
2195,1126,21,54,33
2195,1127,7,95,88
2195,1129,16,48,32
2194,1133,3,71,68
2195,1134,24,149,125
2196,1141,8,52,44
2195,1142,1,32,31
2194,1145,22,86,64
2195,1145,12,125,113
2196,1145,5,55,50
2194,1146,1,106,105
2196,1146,6,98,92
2194,1148,3,109,106
2194,1152,7,85,78
2193,1153,22,62,40
2194,1153,14,176,162
2195,1153,8,124,116
2196,1153,5,67,62
2194,1154,4,84,80
2194,1158,5,50,45
2195,1158,3,62,59
2194,1159,4,139,135
2195,1159,3,100,97
2194,1160,7,93,86
2195,1160,1,117,116
2196,1160,5,52,47
2193,1165,8,82,74
2196,1165,8,45,37
2193,1166,2,81,79
2196,1166,1,43,42
2193,1167,6,72,66
2194,1167,6,96,90
2195,1167,3,161,158
2196,1167,7,41,34
2194,1171,2,57,55
2195,1171,5,64,59
2193,1172,17,73,56
2194,1172,6,121,115
2195,1172,7,103,96
2193,1173,7,77,70
2195,1173,11,102,91
2195,1174,9,57,48
2193,1178,7,88,81
2194,1178,7,71,64
2195,1178,1,74,73
2193,1179,14,69,55
2194,1179,16,171,155
2195,1179,1,52,51
2194,1180,2,51,49
2194,1184,11,81,70
2194,1191,6,161,155
2195,1191,9,84,75
2193,1192,24,195,171
2195,1192,4,71,67
2194,1193,15,84,69
2195,1193,2,47,45
2193,1197,21,210,189
2195,1197,11,69,58
2194,1198,5,106,101
2195,1198,7,78,71
2194,1199,39,127,88
2193,1203,14,127,113
2194,1204,23,138,115
2192,1205,12,66,54
2194,1205,30,137,107
2194,1206,4,71,67
2192,1210,15,78,63
2193,1210,4,109,105
2192,1211,5,75,70
2193,1211,8,111,103
2194,1211,10,104,94
2194,1212,3,99,96
2192,1217,13,159,146
2193,1217,5,196,191
2192,1218,14,144,130
2193,1218,20,214,194
2193,1219,17,114,97
2192,1222,3,70,67
2193,1222,4,95,91
2194,1223,5,82,77
2194,1224,22,61,39
2192,1225,19,131,112
2193,1225,13,208,195
2194,1225,34,89,55
2192,1230,25,148,123
2193,1230,25,168,143
2194,1230,19,71,52
2193,1231,8,144,136
2194,1231,4,79,75
2192,1235,27,118,91
2193,1235,25,99,74
2191,1236,14,86,72
2191,1237,5,106,101
2192,1237,15,173,158
2193,1237,14,126,112
2192,1242,3,92,89
2193,1243,9,70,61
2193,1248,4,35,31
2190,1249,1,48,47
2192,1249,5,163,158
2193,1249,6,75,69
2192,1250,3,152,149
2193,1250,5,61,56
2191,1254,31,75,44
2190,1255,18,68,50
2191,1255,102,199,97
2190,1257,21,82,61
2191,1257,12,166,154
2190,1261,14,58,44
2191,1261,25,141,116
2192,1261,1,37,36
2190,1263,3,74,71
2191,1263,7,157,150
2191,1267,40,113,73
2190,1268,9,106,97
2192,1268,3,70,67
2190,1269,5,176,171
2192,1269,1,66,65
2191,1270,8,70,62
2190,1273,8,73,65
2191,1273,8,95,87
2192,1274,7,56,49
2192,1275,13,79,66
2188,1276,6,41,35
2189,1276,7,99,92
2190,1276,7,114,107
2191,1276,8,95,87
2192,1276,16,62,46
2189,1277,7,49,42
2190,1277,8,72,64
2191,1277,9,74,65
2190,1280,3,92,89
2190,1281,10,176,166
2190,1282,15,134,119
2191,1282,4,64,60
2190,1283,4,95,91
2191,1283,17,62,45
2189,1286,2,78,76
2188,1287,8,45,37
2190,1287,37,119,82
2188,1288,9,53,44
2188,1289,18,81,63
2189,1294,5,196,191
2190,1294,3,75,72
2188,1295,5,116,111
2189,1296,7,48,41
2188,1299,16,91,75
2189,1299,21,145,124
2189,1300,3,177,174
2190,1300,1,79,78
2187,1301,21,102,81
2188,1301,8,181,173
2189,1301,13,189,176
2189,1302,5,87,82
2189,1305,12,92,80
2188,1306,28,107,79
2187,1307,8,120,112
2189,1307,11,80,69
2188,1308,5,101,96
2188,1312,15,98,83
2189,1312,6,69,63
2187,1313,8,204,196
2189,1313,18,107,89
2186,1314,6,46,40
2188,1314,3,157,154
2189,1314,1,50,49
2188,1315,12,103,91
2187,1319,5,225,220
2189,1319,11,67,56
2187,1320,16,212,196
2189,1320,4,39,35
2187,1321,9,165,156
2188,1321,11,99,88
2186,1325,28,98,70
2187,1325,125,232,107
2188,1325,15,78,63
2187,1331,13,124,111
2185,1332,8,76,68
2187,1332,23,149,126
2185,1333,4,118,114
2187,1333,37,136,99
2186,1337,5,97,92
2186,1338,3,163,160
2186,1340,3,90,87
2184,1344,8,119,111
2186,1344,26,177,151
2184,1345,7,128,121
2186,1345,20,154,134
2184,1346,3,161,158
2186,1346,12,145,133
2185,1350,13,72,59
2185,1351,15,156,141
2186,1352,3,80,77
1091,1717,1,34,33
1092,1718,2,45,43
