X,Y,Subtracted,Original 1,Original 2
2191,970,3,83,80
2191,975,3,43,40
2192,975,9,47,38
2191,976,7,159,152
2192,981,4,46,42
2191,982,7,136,129
2192,982,3,65,62
2193,982,6,37,31
2191,983,56,116,60
2192,983,1,65,64
2193,988,1,45,44
2192,993,14,48,34
2192,994,7,108,101
2193,994,16,75,59
2193,995,1,75,74
2192,1006,4,69,65
2193,1006,16,84,68
2194,1006,18,60,42
2192,1007,13,178,165
2193,1007,27,149,122
2194,1007,22,68,46
2192,1008,1,62,61
2192,1012,6,95,89
2193,1012,34,90,56
2192,1014,22,114,92
2193,1014,8,114,106
2194,1014,7,73,66
2192,1019,5,67,62
2194,1019,14,79,65
2192,1020,14,88,74
2193,1025,15,121,106
2194,1025,16,52,36
2193,1026,10,197,187
2194,1026,16,76,60
2195,1026,1,32,31
2192,1031,5,48,43
2194,1032,5,75,70
2193,1037,2,114,112
2193,1038,8,154,146
2194,1038,4,116,112
2195,1038,10,68,58
2193,1039,27,134,107
2194,1039,4,151,147
2195,1039,1,90,89
2193,1040,3,44,41
2194,1040,7,46,39
2193,1044,3,83,80
2194,1044,5,102,97
2193,1045,10,103,93
2194,1045,13,135,122
2193,1046,4,47,43
2194,1046,4,62,58
2194,1057,20,131,111
2194,1058,5,81,76
2195,1058,1,63,62
2195,1062,8,43,35
2194,1063,11,146,135
2194,1064,14,105,91
2195,1064,3,126,123
2196,1064,3,37,34
2194,1065,6,50,44
2194,1069,1,80,79
2194,1070,2,106,104
2196,1070,12,54,42
2195,1081,8,43,35
2194,1082,38,100,62
2195,1082,8,90,82
2194,1083,37,126,89
2194,1084,29,83,54
2194,1088,5,71,66
2194,1089,3,97,94
2195,1089,2,98,96
2196,1089,3,36,33
2195,1090,9,66,57
2194,1096,5,100,95
2195,1101,35,119,84
2195,1102,10,144,134
2194,1103,4,35,31
2195,1107,47,92,45
2195,1108,2,143,141
2195,1110,4,41,37
2194,1114,3,79,76
2195,1114,11,111,100
2195,1115,13,111,98
2195,1116,7,50,43
2194,1120,45,115,70
2196,1120,26,61,35
2194,1121,33,130,97
2194,1122,31,95,64
2195,1122,6,70,64
2196,1122,2,33,31
2194,1126,22,63,41
2195,1126,18,54,36
2194,1128,20,80,60
2196,1128,2,53,51
2195,1129,7,48,41
2194,1133,11,71,60
2196,1133,29,74,45
2194,1134,3,79,76
2195,1134,5,149,144
2196,1140,1,55,54
2195,1141,4,102,98
2196,1141,4,52,48
2195,1145,4,125,121
2196,1145,8,55,47
2196,1146,4,98,94
2193,1147,10,66,56
2194,1147,4,201,197
2194,1153,9,176,167
2195,1153,12,124,112
2195,1154,4,81,77
2194,1158,7,50,43
2195,1158,21,62,41
2195,1159,8,100,92
2196,1160,13,52,39
2193,1164,2,37,35
2193,1165,5,82,77
2196,1165,3,45,42
2193,1166,15,81,66
2195,1166,2,153,151
2193,1167,24,72,48
2195,1167,11,161,150
2195,1171,4,64,60
2193,1172,8,73,65
2194,1172,11,121,110
2193,1173,11,77,66
2194,1173,19,124,105
2195,1173,7,102,95
2193,1174,2,35,33
2194,1174,8,56,48
2195,1174,8,57,49
2193,1178,7,88,81
2194,1178,7,71,64
2195,1178,2,74,72
2193,1179,12,69,57
2194,1179,15,171,156
2195,1179,1,52,51
2193,1180,2,79,77
2194,1180,7,51,44
2193,1184,5,75,70
2193,1186,3,87,84
2193,1190,3,52,49
2193,1192,10,195,185
2194,1192,7,108,101
2194,1193,11,84,73
2194,1198,7,106,99
2194,1199,21,127,106
2195,1199,9,79,70
2193,1200,8,42,34
2192,1203,5,46,41
2193,1203,14,127,113
2194,1203,4,73,69
2192,1204,3,82,79
2193,1204,15,192,177
2194,1204,6,138,132
2192,1205,11,66,55
2194,1205,10,137,127
2195,1205,9,45,36
2194,1206,10,71,61
2193,1211,22,111,89
2193,1212,18,109,91
2192,1217,8,159,151
2193,1217,13,196,183
2192,1218,12,144,132
2193,1218,15,214,199
2193,1219,6,114,108
2193,1222,1,95,94
2193,1223,5,206,201
2192,1224,1,89,88
2194,1224,13,61,48
2194,1225,7,89,82
2194,1229,5,52,47
2191,1230,3,43,40
2192,1230,5,148,143
2194,1230,5,71,66
2191,1231,17,67,50
2192,1231,17,157,140
2193,1231,5,144,139
2194,1231,8,79,71
2192,1235,7,118,111
2192,1242,3,92,89
2192,1243,7,164,157
2192,1244,7,97,90
2191,1248,10,83,73
2190,1249,7,48,41
2191,1249,18,160,142
2192,1249,5,163,158
2193,1249,19,75,56
2192,1250,17,152,135
2193,1250,27,61,34
2192,1251,7,70,63
2190,1255,3,68,65
2191,1255,18,199,181
2192,1255,8,82,74
2191,1256,27,206,179
2192,1256,12,83,71
2192,1261,2,37,35
2191,1264,17,55,38
2190,1267,25,98,73
2190,1268,29,106,77
2190,1269,15,176,161
2191,1270,1,70,69
2192,1274,6,56,50
2188,1275,9,45,36
2189,1275,7,90,83
2192,1275,1,79,78
2189,1276,12,99,87
2190,1276,3,114,111
2192,1276,4,62,58
2191,1277,6,74,68
2190,1280,11,92,81
2191,1282,17,64,47
2189,1283,2,92,90
2191,1283,29,62,33
2189,1286,4,78,74
2190,1287,21,119,98
2191,1287,2,58,56
2188,1289,7,81,74
2190,1294,7,75,68
2188,1295,11,116,105
2190,1295,1,81,80
2188,1299,27,91,64
2189,1299,12,145,133
2189,1300,1,177,176
2187,1301,8,102,94
2188,1301,16,181,165
2189,1301,7,189,182
2188,1305,17,106,89
2189,1305,6,92,86
2188,1306,5,107,102
2186,1307,20,64,44
2187,1307,18,120,102
2190,1307,33,92,59
2188,1308,4,101,97
2188,1309,10,68,58
2187,1314,2,165,163
2187,1315,1,113,112
2188,1315,2,103,101
2189,1319,5,67,62
2186,1320,6,91,85
2187,1320,2,212,210
2187,1324,13,58,45
2187,1325,127,232,105
2187,1326,20,207,187
2187,1331,3,124,121
2188,1331,3,63,60
2186,1332,1,128,127
2187,1332,14,149,135
2188,1332,3,55,52
2186,1333,3,159,156
2187,1333,27,136,109
2187,1334,24,60,36
2185,1337,21,115,94
2186,1337,6,97,91
2187,1338,1,54,53
2184,1339,11,71,60
2186,1339,3,191,188
2187,1339,18,106,88
2185,1340,3,108,105
2185,1343,8,62,54
2186,1344,4,177,173
2185,1345,6,132,126
2186,1345,10,154,144
2185,1346,5,153,148
2186,1346,8,145,137
2183,1351,16,55,39
2185,1351,1,156,155
2186,1351,1,75,74
2185,1352,9,136,127
2186,1352,13,80,67
2185,1353,6,65,59
