X,Y,Subtracted,Original 1,Original 2
2194,1146,2,39,37
2195,1146,4,54,50
2194,1147,3,48,45
2195,1147,8,63,55
2193,1197,6,40,34
2193,1198,10,67,57
2194,1204,1,47,46
2194,1205,1,46,45
2193,1218,1,56,55
2193,1224,3,63,60
2193,1230,13,47,34
2193,1231,9,54,45
2192,1236,10,49,39
2192,1237,2,55,53
2191,1249,5,47,42
2192,1249,8,48,40
2191,1250,11,54,43
2190,1269,1,32,31
2191,1269,8,54,46
2190,1275,18,63,45
2189,1288,12,61,49
2188,1300,4,49,45
2189,1300,16,67,51
2188,1301,10,55,45
2189,1301,17,67,50
2187,1307,3,36,33
2188,1307,12,53,41
2187,1313,3,58,55
2188,1313,3,62,59
2187,1314,8,48,40
2188,1314,9,51,42
2187,1325,5,39,34
2187,1326,5,60,55
2185,1345,1,44,43
2186,1345,5,36,31
