X,Y,Subtracted,Original 1,Original 2
2191,975,2,33,31
2192,981,2,40,38
2192,993,1,61,60
2193,993,4,58,54
2192,994,1,46,45
2193,994,6,52,46
2193,999,4,42,38
2193,1011,15,53,38
2193,1012,14,78,64
2194,1012,1,41,40
2193,1013,5,45,40
2194,1018,2,60,58
2194,1019,1,60,59
2193,1025,3,67,64
2194,1025,4,80,76
2193,1026,9,43,34
2194,1026,10,44,34
2193,1031,7,68,61
2194,1031,5,88,83
2193,1032,12,45,33
2194,1032,15,56,41
2193,1037,5,49,44
2194,1037,3,64,61
2194,1056,4,55,51
2195,1056,4,54,50
2194,1057,6,50,44
2195,1057,3,43,40
2196,1069,2,34,32
2194,1070,6,39,33
2195,1070,20,57,37
2195,1075,12,71,59
2195,1076,6,71,65
2195,1077,5,36,31
2195,1082,13,64,51
2195,1083,7,44,37
2195,1088,6,56,50
2195,1114,14,73,59
2195,1115,17,51,34
2195,1120,16,82,66
2195,1121,11,43,32
2195,1126,10,50,40
2195,1127,11,64,53
2195,1133,7,48,41
2195,1134,7,38,31
2196,1146,11,65,54
2195,1147,5,62,57
2195,1152,2,92,90
2196,1152,8,41,33
2195,1153,8,56,48
2195,1158,6,44,38
2194,1159,7,50,43
2195,1159,3,70,67
2194,1164,9,55,46
2194,1166,1,56,55
2194,1171,5,72,67
2195,1171,8,69,61
2194,1172,8,66,58
2195,1172,7,79,72
2195,1173,5,38,33
2194,1179,9,50,41
2195,1179,7,49,42
2194,1184,2,68,66
2193,1185,4,42,38
2194,1185,17,78,61
2195,1185,2,45,43
2194,1186,13,46,33
2193,1196,1,35,34
2193,1197,2,77,75
2193,1198,2,52,50
2193,1202,4,40,36
2193,1203,5,100,95
2193,1204,8,114,106
2193,1205,11,69,58
2194,1205,2,34,32
2193,1209,2,45,43
2193,1210,4,81,77
2194,1210,5,54,49
2193,1211,5,54,49
2193,1215,5,60,55
2194,1215,4,36,32
2192,1216,12,77,65
2193,1216,1,103,102
2192,1217,4,49,45
2192,1223,12,85,73
2193,1223,9,92,83
2194,1223,11,62,51
2193,1224,11,72,61
2192,1229,5,120,115
2193,1229,9,96,87
2193,1230,15,103,88
2194,1230,1,43,42
2193,1231,7,51,44
2192,1234,8,44,36
2192,1235,16,94,78
2192,1236,3,87,84
2193,1236,11,102,91
2193,1237,5,63,58
2191,1242,9,50,41
2192,1242,4,60,56
2192,1243,5,52,47
2192,1249,7,92,85
2193,1249,2,36,34
2191,1254,4,47,43
2191,1255,8,79,71
2191,1261,4,66,62
2191,1262,6,74,68
2191,1263,8,53,45
2191,1273,5,70,65
2191,1274,9,114,105
2189,1275,1,37,36
2190,1275,3,79,76
2191,1275,15,103,88
2190,1276,7,40,33
2191,1276,8,40,32
2189,1280,1,32,31
2189,1286,5,42,37
2190,1286,4,51,47
2189,1287,1,76,75
2190,1287,5,102,97
2189,1288,18,66,48
2190,1288,5,47,42
2189,1292,8,56,48
2188,1293,4,55,51
2189,1293,17,113,96
2189,1294,21,109,88
2190,1294,5,71,66
2189,1295,22,57,35
2188,1299,10,72,62
2188,1300,11,84,73
2188,1305,1,60,59
2188,1306,3,98,95
2189,1306,9,103,94
2190,1306,14,45,31
2189,1307,11,82,71
2187,1312,10,91,81
2189,1312,14,76,62
2187,1317,2,52,50
2187,1318,1,85,84
2186,1319,4,53,49
2187,1319,9,93,84
2188,1319,2,102,100
2188,1326,19,52,33
2185,1331,1,32,31
2186,1331,8,101,93
2187,1331,4,104,100
2186,1332,1,84,83
2186,1336,6,39,33
2185,1337,4,81,77
2186,1337,2,72,70
2187,1337,9,73,64
2185,1339,8,98,90
2186,1339,13,55,42
2187,1339,6,37,31
2185,1343,15,163,148
2186,1343,8,68,60
2185,1344,9,186,177
2184,1345,18,60,42
2186,1345,6,46,40
2187,1345,4,49,45
2185,1349,10,49,39
2186,1350,11,63,52
2184,1351,11,65,54
