X,Y,Subtracted,Original 1,Original 2
1793,837,1,41,40
1794,838,14,63,49
1794,839,17,58,41
1793,844,15,54,39
1793,845,6,101,95
1794,845,20,107,87
1795,845,19,78,59
1795,852,16,62,46
1795,853,13,54,41
1795,860,12,58,46
1795,865,23,71,48
1796,865,9,60,51
1796,866,37,99,62
1797,866,19,66,47
1795,867,38,94,56
1796,867,25,83,58
1795,872,20,80,60
1796,872,4,73,69
1797,872,4,72,68
1797,873,19,119,100
1796,874,8,96,88
1797,874,21,97,76
1796,875,4,35,31
1798,879,28,60,32
1796,880,17,93,76
1797,880,66,149,83
1798,880,37,121,84
1798,886,39,105,66
1798,887,82,155,73
1799,887,50,82,32
1798,888,38,92,54
1798,893,13,84,71
1799,894,53,132,79
1798,895,6,85,79
1799,895,63,112,49
1799,900,3,64,61
1800,901,73,113,40
1799,902,9,85,76
1799,907,47,80,33
1800,907,14,49,35
1799,908,36,109,73
1800,908,44,101,57
1800,909,26,80,54
1799,914,14,61,47
1800,914,29,67,38
1799,915,11,103,92
1800,915,35,113,78
1801,915,76,110,34
1800,916,12,90,78
1801,916,57,91,34
1801,922,54,110,56
1801,923,37,72,35
1801,929,9,73,64
1802,936,47,81,34
1802,937,29,68,39
1802,943,7,51,44
1802,944,28,75,47
1803,950,21,62,41
1803,951,38,82,44
1803,957,15,50,35
1803,958,6,50,44
1804,965,25,70,45
1804,972,3,64,61
1805,987,1,45,44
