X,Y,Subtracted,Original 1,Original 2
1792,838,16,72,56
1793,838,3,76,73
1794,838,8,62,54
1792,845,5,68,63
1795,845,4,64,60
1793,846,1,61,60
1795,846,4,41,37
1793,851,7,47,40
1794,851,6,51,45
1794,852,1,65,64
1793,858,2,45,43
1794,858,2,75,73
1793,859,2,46,44
1794,859,2,77,75
1794,860,3,39,36
1794,865,14,53,39
1795,865,7,68,61
1796,865,3,50,47
1794,866,10,85,75
1795,866,10,131,121
1796,866,1,110,109
1795,867,2,61,59
1795,871,1,73,72
1794,872,7,63,56
1795,872,17,82,65
1797,872,1,74,73
1794,873,4,94,90
1795,873,5,132,127
1794,879,3,45,42
1797,879,1,91,90
1795,880,13,74,61
1798,880,12,69,57
1797,881,3,62,59
1795,885,7,41,34
1796,885,6,80,74
1795,886,6,78,72
1798,886,11,116,105
1799,886,3,41,38
1798,887,17,99,82
1797,888,15,79,64
1798,888,3,50,47
1796,892,8,60,52
1797,892,12,77,65
1799,893,9,82,73
1796,894,3,99,96
1797,894,27,169,142
1798,894,11,155,144
1799,894,5,97,92
1799,900,7,58,51
1798,901,7,138,131
1799,901,16,117,101
1797,902,3,66,63
1797,907,6,66,60
1798,907,4,92,88
1798,908,7,95,88
1798,909,3,49,46
1799,909,3,51,48
1799,914,9,98,89
1800,914,3,87,84
1801,914,3,50,47
1797,915,1,60,59
1798,915,2,98,96
1799,915,9,95,86
1800,915,7,86,79
1801,915,6,50,44
1798,916,8,58,50
1799,916,2,49,47
1800,916,8,47,39
1800,923,2,61,59
1801,923,2,34,32
1800,928,5,55,50
1801,928,1,33,32
1800,929,15,90,75
1801,929,8,65,57
1800,930,12,62,50
1801,930,6,46,40
1801,944,13,60,47
1802,944,16,57,41
1801,949,1,65,64
1801,950,16,107,91
1802,950,17,105,88
1803,950,10,56,46
1802,956,6,46,40
1803,957,1,60,59
1802,963,5,40,35
1801,964,6,46,40
1802,964,4,76,72
1802,965,2,83,81
1803,965,1,76,75
1802,966,2,47,45
1803,966,3,41,38
1802,971,4,61,57
1803,971,8,65,57
1804,971,3,36,33
1801,972,2,41,39
1802,979,4,57,53
1805,979,2,53,51
1803,980,1,50,49
1803,985,2,55,53
1802,986,7,47,40
1803,986,5,84,79
1804,986,3,87,84
1805,986,1,53,52
1802,987,1,33,32
1805,987,2,46,44
1803,993,7,55,48
1804,993,17,83,66
1804,994,4,61,57
1804,999,12,55,43
1804,1000,1,81,80
1805,1000,7,79,72
1803,1001,2,42,40
1806,1001,6,53,47
1806,1007,4,42,38
1806,1015,3,60,57
1805,1022,3,56,53
1805,1023,18,65,47
1806,1023,8,64,56
1805,1029,6,53,47
1806,1029,8,71,63
1807,1029,11,63,52
1805,1030,2,34,32
1807,1030,8,58,50
1806,1044,6,61,55
1807,1044,7,82,75
1806,1045,1,40,39
1807,1045,2,56,54
1808,1051,2,34,32
1807,1057,4,39,35
1808,1058,2,76,74
1807,1059,1,67,66
1808,1059,3,68,65
1808,1060,3,34,31
1806,1064,26,73,47
1809,1064,8,73,65
1806,1065,24,85,61
1808,1065,8,105,97
1806,1066,20,79,59
1808,1066,16,107,91
1806,1067,15,46,31
1812,1174,3,37,34
1812,1175,5,46,41
1811,1189,1,35,34
