X,Y,Subtracted,Original 1,Original 2
1792,838,1,63,62
1793,838,2,83,81
1794,838,5,48,43
1793,839,9,50,41
1792,844,7,59,52
1795,844,6,54,48
1792,845,1,66,65
1795,845,3,60,57
1793,846,5,59,54
1794,846,9,67,58
1795,846,2,35,33
1793,851,15,49,34
1794,851,13,55,42
1793,852,9,56,47
1794,852,2,65,63
1793,858,3,41,38
1796,859,2,35,33
1794,860,3,39,36
1794,865,9,72,63
1794,866,3,98,95
1797,866,14,64,50
1794,867,4,35,31
1796,867,3,60,57
1795,871,1,79,78
1796,871,10,84,74
1794,872,1,67,66
1796,872,1,85,84
1794,873,5,96,91
1795,873,1,136,135
1796,873,3,145,142
1795,874,7,43,36
1796,874,3,58,55
1797,874,4,58,54
1797,878,1,53,52
1794,880,20,56,36
1795,880,16,80,64
1798,880,13,68,55
1796,881,2,52,50
1797,881,4,64,60
1797,885,7,78,71
1798,885,6,68,62
1795,886,6,79,73
1795,887,22,105,83
1796,887,3,128,125
1798,887,12,98,86
1797,892,3,92,89
1798,892,27,63,36
1796,893,5,62,57
1797,893,7,105,98
1798,893,3,103,100
1798,894,2,151,149
1796,895,8,51,43
1797,895,4,93,89
1798,895,6,75,69
1799,901,3,118,115
1798,902,3,85,82
1799,902,10,79,69
1798,906,2,40,38
1797,907,10,76,66
1798,907,6,95,89
1800,907,2,62,60
1797,908,4,69,65
1798,908,7,98,91
1799,908,10,101,91
1800,908,5,65,60
1798,909,7,48,41
1799,909,14,56,42
1798,913,3,57,54
1799,913,8,57,49
1799,914,6,99,93
1800,915,3,91,88
1800,916,4,52,48
1799,921,2,92,90
1800,921,20,77,57
1801,921,14,47,33
1798,922,3,64,61
1799,922,9,113,104
1800,922,19,96,77
1801,922,13,59,46
1800,923,3,54,51
1800,928,18,70,52
1800,929,23,102,79
1800,930,1,53,52
1799,935,1,40,39
1800,935,2,47,45
1799,936,10,46,36
1801,936,5,83,78
1801,937,4,50,46
1801,942,9,43,34
1801,943,7,66,59
1802,943,1,49,48
1800,944,5,44,39
1801,949,3,61,58
1802,949,1,51,50
1800,950,2,71,69
1803,950,6,54,48
1800,957,11,50,39
1801,957,7,70,63
1802,957,2,78,76
1800,958,14,48,34
1801,958,12,67,55
1802,958,7,74,67
1803,958,2,54,52
1803,963,3,39,36
1804,964,5,37,32
1801,971,5,36,31
1802,971,12,68,56
1803,971,14,69,55
1804,971,6,39,33
1801,972,6,44,38
1802,973,3,48,45
1803,978,4,78,74
1804,978,7,76,69
1803,979,8,83,75
1804,979,11,82,71
1803,980,11,56,45
1804,980,15,56,41
1803,985,2,62,60
1804,985,2,62,60
1804,992,5,55,50
1804,993,10,72,62
1803,994,3,37,34
1804,994,15,65,50
1804,999,5,56,51
1803,1000,7,55,48
1804,1000,4,86,82
1805,1000,10,87,77
1806,1000,20,63,43
1803,1001,1,47,46
1805,1001,4,72,68
1806,1001,16,59,43
1804,1007,7,42,35
1806,1007,13,46,33
1804,1009,1,34,33
1806,1009,1,33,32
1806,1014,2,55,53
1806,1015,9,82,73
1807,1015,13,59,46
1805,1022,2,64,62
1806,1022,3,64,61
1807,1022,9,46,37
1805,1036,5,39,34
1807,1036,7,65,58
1805,1037,3,38,35
1807,1037,8,63,55
1806,1043,3,35,32
1807,1043,4,53,49
1806,1044,3,59,56
1807,1044,3,82,79
1806,1045,1,36,35
1806,1058,1,37,36
1808,1058,2,73,71
1809,1058,1,51,50
1806,1059,2,34,32
1808,1059,2,67,65
1809,1059,1,48,47
1810,1064,4,43,39
1806,1065,11,87,76
1809,1065,3,94,91
1810,1065,7,59,52
1806,1066,14,81,67
1807,1066,3,92,89
1808,1066,1,106,105
1809,1066,4,92,88
1810,1066,7,58,51
1806,1067,6,48,42
1809,1067,1,53,52
1808,1073,1,34,33
1811,1160,5,56,51
1812,1160,5,51,46
1812,1175,12,44,32
1812,1189,9,46,37
