X,Y,Subtracted,Original 1,Original 2
1791,842,6,69,63
1792,842,6,103,97
1791,843,8,89,81
1792,844,1,88,87
1793,844,10,98,88
1792,849,36,85,49
1793,849,1,92,91
1792,850,6,90,84
1794,850,6,65,59
1792,856,2,90,88
1793,856,8,149,141
1794,856,12,133,121
1795,856,8,42,34
1793,862,10,62,52
1794,862,17,71,54
1796,869,6,40,34
1793,870,22,85,63
1794,870,19,156,137
1796,870,19,92,73
1793,871,17,103,86
1795,871,16,179,163
1796,871,12,113,101
1793,872,6,51,45
1795,872,19,94,75
1795,876,15,71,56
1793,877,20,61,41
1794,877,10,120,110
1795,877,3,161,158
1796,877,22,122,100
1794,878,27,143,116
1795,878,1,184,183
1796,879,5,77,72
1796,883,1,89,88
1794,884,1,82,81
1797,884,1,100,99
1794,885,1,81,80
1797,885,1,96,95
1797,886,3,63,60
1795,890,14,111,97
1796,890,3,70,67
1797,890,33,91,58
1795,891,13,194,181
1797,891,25,178,153
1794,892,1,39,38
1795,892,28,167,139
1797,892,28,181,153
1798,892,3,78,75
1796,897,9,66,57
1797,897,14,92,78
1796,898,19,160,141
1798,898,4,112,108
1795,899,4,95,91
1797,899,6,187,181
1796,900,27,105,78
1797,904,1,62,61
1797,905,30,146,116
1799,905,3,90,87
1797,906,9,218,209
1798,906,24,153,129
1797,907,25,104,79
1798,907,6,66,60
1798,911,37,83,46
1798,912,4,129,125
1797,913,21,183,162
1798,913,7,211,204
1799,913,4,165,161
1799,914,7,74,67
1797,918,6,68,62
1797,919,14,111,97
1798,919,11,149,138
1800,919,24,55,31
1797,920,6,73,67
1798,920,9,116,107
1798,921,4,64,60
1800,926,6,64,58
1797,927,4,85,81
1799,927,20,164,144
1800,927,12,95,83
1799,928,6,83,77
1800,933,9,71,62
1799,934,17,160,143
1800,934,4,95,91
1801,934,6,53,47
1798,935,6,48,42
1799,935,6,89,83
1800,941,4,175,171
1801,941,12,113,101
1800,942,19,91,72
1800,947,2,63,61
1798,948,13,46,33
1799,948,8,108,100
1802,948,9,68,59
1799,949,18,103,85
1801,949,9,123,114
1802,949,15,71,56
1799,950,8,47,39
1801,950,12,63,51
1800,954,11,91,80
1801,954,4,69,65
1800,955,1,160,159
1801,955,1,151,150
1802,955,3,76,73
1800,956,6,100,94
1801,956,5,130,125
1802,956,1,79,78
1801,957,1,52,51
1802,957,4,43,39
1800,962,1,103,102
1801,962,15,162,147
1802,962,5,111,106
1800,963,28,95,67
1802,963,20,106,86
1801,964,19,56,37
1801,968,9,52,43
1803,968,13,45,32
1801,969,1,133,132
1803,969,12,88,76
1800,970,7,95,88
1801,970,8,154,146
1803,970,12,90,78
1801,971,10,78,68
1800,977,8,49,41
1804,977,3,59,56
1803,978,2,108,106
1803,983,1,75,74
1801,984,5,87,82
1802,984,12,101,89
1803,984,10,144,134
1804,984,4,69,65
1802,990,2,78,76
1803,990,11,65,54
1804,990,7,48,41
1803,991,6,120,114
1804,991,3,87,84
1803,992,13,161,148
1803,997,18,88,70
1804,998,22,126,104
1802,999,16,85,69
1803,999,17,137,120
1804,1000,13,63,50
1803,1004,3,59,56
1804,1004,10,65,55
1804,1005,10,138,128
1805,1005,3,82,79
1805,1006,4,87,83
1802,1007,2,51,49
1805,1007,8,45,37
1805,1012,12,82,70
1802,1013,14,60,46
1803,1013,5,73,68
1804,1013,7,169,162
1805,1013,16,75,59
1806,1013,17,59,42
1804,1019,9,63,54
1805,1019,3,66,63
1803,1020,2,52,50
1803,1021,3,47,44
1804,1022,6,43,37
1805,1026,2,57,55
1805,1027,7,122,115
1806,1027,13,76,63
1806,1029,3,52,49
1804,1033,12,50,38
1805,1033,24,83,59
1806,1033,16,60,44
1804,1034,5,81,76
1805,1034,12,133,121
1806,1034,2,106,104
1806,1036,1,52,51
1805,1040,17,67,50
1804,1041,21,89,68
1805,1041,22,146,124
1806,1041,10,102,92
1807,1041,51,112,61
1804,1043,32,73,41
1805,1043,31,109,78
1806,1043,28,90,62
1807,1043,22,82,60
1807,1048,13,49,36
1807,1049,3,87,84
1805,1050,6,54,48
1806,1050,2,69,67
1807,1050,9,59,50
1806,1056,29,122,93
1807,1056,20,123,103
1808,1056,10,84,74
1808,1057,1,73,72
1805,1058,16,50,34
1806,1058,12,79,67
1807,1058,28,77,49
1806,1062,3,110,107
1806,1063,15,176,161
1808,1063,10,114,104
1805,1064,1,92,91
1806,1064,4,183,179
1807,1064,5,249,244
1808,1064,17,142,125
1806,1065,2,80,78
1807,1065,2,121,119
1808,1065,14,111,97
1806,1070,4,37,33
1806,1071,7,48,41
1807,1071,2,64,62
1808,1078,11,57,46
1807,1079,3,57,54
1806,1085,2,41,39
1807,1085,4,83,79
1807,1087,3,41,38
1808,1092,3,64,61
1808,1099,6,53,47
1809,1099,14,45,31
1808,1100,3,74,71
1809,1100,10,61,51
1809,1113,2,39,37
1809,1121,1,52,51
1808,1122,3,48,45
1809,1122,5,77,72
1810,1122,10,62,52
1810,1123,6,38,32
1810,1130,6,64,58
1809,1136,8,81,73
1809,1137,26,69,43
1810,1137,14,65,51
1809,1143,8,77,69
1810,1143,2,90,88
1809,1158,5,36,31
1809,1159,22,54,32
1810,1159,18,86,68
1811,1159,6,71,65
1810,1164,3,38,35
1810,1171,10,47,37
1811,1171,11,51,40
1810,1172,5,96,91
1811,1172,7,100,93
1810,1173,6,108,102
1811,1173,8,109,101
1810,1174,7,61,54
1811,1174,10,61,51
1812,1179,3,35,32
1810,1186,5,48,43
1809,1187,1,39,38
1810,1187,5,80,75
1810,1188,12,73,61
1811,1188,7,74,67
1812,1188,5,44,39
1810,1193,4,41,37
1811,1193,9,65,56
1812,1193,1,46,45
1812,1203,4,36,32
1810,1208,4,54,50
1810,1209,6,49,43
1812,1215,18,76,58
1810,1216,6,40,34
1812,1216,5,55,50
1811,1223,10,52,42
1812,1238,1,54,53
