Compared Img,# of pixel,# above thresh,Max val
swingTest/23.56v_6-3-newCompare/compare_frame_4-5,2765,369,245
swingTest/23.56v_6-3-newCompare/compare_frame_5-6,2108,274,206
swingTest/23.56v_6-3-newCompare/compare_frame_6-7,2541,384,231
swingTest/23.56v_6-3-newCompare/compare_frame_7-8,2381,292,196
swingTest/23.56v_6-3-newCompare/compare_frame_8-9,2710,345,254
swingTest/23.56v_6-3-newCompare/compare_frame_9-10,2799,317,213
swingTest/23.56v_6-3-newCompare/compare_frame_10-11,2471,322,210
swingTest/23.56v_6-3-newCompare/compare_frame_11-12,2453,303,215
swingTest/23.56v_6-3-newCompare/compare_frame_12-13,2283,288,180
swingTest/23.56v_6-3-newCompare/compare_frame_13-14,2270,330,207
swingTest/23.56v_6-3-newCompare/compare_frame_14-15,1987,194,192
swingTest/23.56v_6-3-newCompare/compare_frame_15-16,2371,266,203
swingTest/23.56v_6-3-newCompare/compare_frame_16-17,2007,100,117
swingTest/23.56v_6-3-newCompare/compare_frame_17-18,2458,241,212
swingTest/23.56v_6-3-newCompare/compare_frame_18-19,1662,0,38
swingTest/23.56v_6-3-newCompare/compare_frame_19-20,1995,167,157
swingTest/23.56v_6-3-newCompare/compare_frame_20-21,2035,15,69
swingTest/23.56v_6-3-newCompare/compare_frame_21-22,1531,0,47
swingTest/23.56v_6-3-newCompare/compare_frame_22-23,1549,0,42
swingTest/23.56v_6-3-newCompare/compare_frame_23-24,1565,0,42
swingTest/23.56v_6-3-newCompare/compare_frame_24-25,1603,0,33
swingTest/23.56v_6-3-newCompare/compare_frame_25-26,1577,0,31
swingTest/23.56v_6-3-newCompare/compare_frame_26-27,1512,0,39
swingTest/23.56v_6-3-newCompare/compare_frame_27-28,1594,0,45
swingTest/23.56v_6-3-newCompare/compare_frame_28-29,1537,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_29-30,1558,0,47
swingTest/23.56v_6-3-newCompare/compare_frame_30-31,1570,0,31
swingTest/23.56v_6-3-newCompare/compare_frame_31-32,1527,0,46
swingTest/23.56v_6-3-newCompare/compare_frame_32-33,1514,0,33
swingTest/23.56v_6-3-newCompare/compare_frame_33-34,1459,0,34
swingTest/23.56v_6-3-newCompare/compare_frame_34-35,1480,0,34
swingTest/23.56v_6-3-newCompare/compare_frame_35-36,1487,0,45
swingTest/23.56v_6-3-newCompare/compare_frame_36-37,1543,0,33
swingTest/23.56v_6-3-newCompare/compare_frame_37-38,1571,0,33
swingTest/23.56v_6-3-newCompare/compare_frame_38-39,1446,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_39-40,1502,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_40-41,1501,1,52
swingTest/23.56v_6-3-newCompare/compare_frame_41-42,1500,0,41
swingTest/23.56v_6-3-newCompare/compare_frame_42-43,1544,0,47
swingTest/23.56v_6-3-newCompare/compare_frame_43-44,1505,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_44-45,1535,0,46
swingTest/23.56v_6-3-newCompare/compare_frame_45-46,1489,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_46-47,1538,0,31
swingTest/23.56v_6-3-newCompare/compare_frame_47-48,1589,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_48-49,1538,0,38
swingTest/23.56v_6-3-newCompare/compare_frame_49-50,1555,1,51
swingTest/23.56v_6-3-newCompare/compare_frame_50-51,1552,0,43
swingTest/23.56v_6-3-newCompare/compare_frame_51-52,1596,0,38
swingTest/23.56v_6-3-newCompare/compare_frame_52-53,1527,0,38
swingTest/23.56v_6-3-newCompare/compare_frame_53-54,1563,0,50
swingTest/23.56v_6-3-newCompare/compare_frame_54-55,1532,1,66
swingTest/23.56v_6-3-newCompare/compare_frame_55-56,1568,0,47
swingTest/23.56v_6-3-newCompare/compare_frame_56-57,1504,0,37
swingTest/23.56v_6-3-newCompare/compare_frame_57-58,1466,0,40
swingTest/23.56v_6-3-newCompare/compare_frame_58-59,1540,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_59-60,1468,0,46
swingTest/23.56v_6-3-newCompare/compare_frame_60-61,1584,0,49
swingTest/23.56v_6-3-newCompare/compare_frame_61-62,1375,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_62-63,1581,2,58
swingTest/23.56v_6-3-newCompare/compare_frame_63-64,1468,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_64-65,1502,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_65-66,1461,1,60
swingTest/23.56v_6-3-newCompare/compare_frame_66-67,1640,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_67-68,1479,0,39
swingTest/23.56v_6-3-newCompare/compare_frame_68-69,1645,0,40
swingTest/23.56v_6-3-newCompare/compare_frame_69-70,1525,0,31
swingTest/23.56v_6-3-newCompare/compare_frame_70-71,1535,0,43
swingTest/23.56v_6-3-newCompare/compare_frame_71-72,1470,0,44
swingTest/23.56v_6-3-newCompare/compare_frame_72-73,1541,0,48
swingTest/23.56v_6-3-newCompare/compare_frame_73-74,1604,0,37
swingTest/23.56v_6-3-newCompare/compare_frame_74-75,1563,1,62
swingTest/23.56v_6-3-newCompare/compare_frame_75-76,1531,1,59
swingTest/23.56v_6-3-newCompare/compare_frame_76-77,1583,0,49
swingTest/23.56v_6-3-newCompare/compare_frame_77-78,1546,0,33
swingTest/23.56v_6-3-newCompare/compare_frame_78-79,1542,0,45
swingTest/23.56v_6-3-newCompare/compare_frame_79-80,1503,0,40
swingTest/23.56v_6-3-newCompare/compare_frame_80-81,1569,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_81-82,1604,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_82-83,1437,0,33
swingTest/23.56v_6-3-newCompare/compare_frame_83-84,1551,0,43
swingTest/23.56v_6-3-newCompare/compare_frame_84-85,1564,1,61
swingTest/23.56v_6-3-newCompare/compare_frame_85-86,1487,0,43
swingTest/23.56v_6-3-newCompare/compare_frame_86-87,1554,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_87-88,1589,0,47
swingTest/23.56v_6-3-newCompare/compare_frame_88-89,1445,0,36
swingTest/23.56v_6-3-newCompare/compare_frame_89-90,1677,0,34
swingTest/23.56v_6-3-newCompare/compare_frame_90-91,1557,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_91-92,1468,0,35
swingTest/23.56v_6-3-newCompare/compare_frame_92-93,1466,0,46
swingTest/23.56v_6-3-newCompare/compare_frame_93-94,1663,1,57
swingTest/23.56v_6-3-newCompare/compare_frame_94-95,1498,0,39
swingTest/23.56v_6-3-newCompare/compare_frame_95-96,1521,1,64
swingTest/23.56v_6-3-newCompare/compare_frame_96-97,1478,1,56
swingTest/23.56v_6-3-newCompare/compare_frame_97-98,1548,0,42
swingTest/23.56v_6-3-newCompare/compare_frame_98-99,1539,0,49
