X,Y,Subtracted,Original 1,Original 2
1792,836,2,75,73
1793,842,2,34,32
1792,844,2,110,108
1793,844,6,56,50
1793,849,4,42,38
1792,850,8,92,84
1793,850,2,83,81
1792,851,8,84,76
1793,851,1,73,72
1792,857,18,59,41
1793,857,16,90,74
1794,857,3,62,59
1793,858,10,104,94
1793,863,13,90,77
1794,863,2,69,67
1793,864,1,124,123
1794,864,6,135,129
1792,865,8,40,32
1793,865,12,92,80
1794,865,2,104,102
1795,870,5,61,56
1795,872,2,75,73
1794,877,6,55,49
1795,877,2,70,68
1793,878,7,70,63
1794,878,10,106,96
1795,878,6,154,148
1793,879,6,45,39
1794,879,11,91,80
1795,879,9,94,85
1796,879,1,68,67
1795,884,9,61,52
1794,885,2,77,75
1795,885,5,151,146
1796,886,16,124,108
1797,886,14,53,39
1794,891,21,58,37
1795,891,15,143,128
1794,892,21,52,31
1795,892,18,143,125
1794,893,18,61,43
1796,893,18,153,135
1796,894,21,53,32
1795,898,29,68,39
1796,898,1,77,76
1797,898,1,74,73
1795,899,24,119,95
1797,899,5,167,162
1795,900,11,56,45
1797,900,15,113,98
1796,905,8,49,41
1798,905,10,50,40
1797,906,3,134,131
1796,907,15,76,61
1797,907,4,84,80
1798,907,22,71,49
1796,913,10,64,54
1797,913,2,142,140
1799,913,4,113,109
1798,914,5,116,111
1799,914,5,78,73
1797,919,11,67,56
1797,920,3,68,65
1798,920,2,83,81
1799,920,1,58,57
1797,922,13,53,40
1798,922,18,72,54
1797,927,2,73,71
1798,927,9,116,107
1799,927,16,109,93
1800,928,2,53,51
1800,934,5,53,48
1798,935,10,57,47
1799,935,15,91,76
1800,935,14,75,61
1801,942,1,54,53
1799,943,39,89,50
1800,950,4,59,55
1799,955,5,45,40
1800,955,2,49,47
1800,956,13,87,74
1800,957,2,48,46
1802,963,2,58,56
1801,964,5,87,82
1802,964,6,55,49
1801,969,7,83,76
1802,969,2,71,69
1800,970,4,69,65
1801,970,1,129,128
1803,971,2,45,43
1801,976,2,49,47
1802,976,8,76,68
1801,977,3,109,106
1802,977,21,142,121
1803,977,16,88,72
1801,978,7,105,98
1803,978,7,73,66
1801,979,7,43,36
1803,983,7,45,38
1801,984,11,47,36
1802,984,3,70,67
1802,986,12,50,38
1803,991,8,69,61
1802,992,10,62,52
1804,992,14,55,41
1803,998,5,45,40
1803,999,34,101,67
1802,1000,4,42,38
1803,1000,6,89,83
1804,1000,6,68,62
1803,1005,6,69,63
1804,1005,6,54,48
1802,1006,1,47,46
1803,1006,2,106,104
1804,1006,3,98,95
1805,1006,3,46,43
1803,1012,1,32,31
1803,1013,11,80,69
1804,1013,8,93,85
1805,1013,7,65,58
1803,1014,2,68,66
1804,1015,20,51,31
1804,1020,17,62,45
1805,1020,8,43,35
1803,1021,13,73,60
1804,1021,2,97,95
1804,1022,4,45,41
1803,1027,7,40,33
1805,1027,8,65,57
1803,1028,3,56,53
1804,1028,11,62,51
1805,1028,13,101,88
1806,1028,5,42,37
1805,1034,2,40,38
1804,1035,3,45,42
1806,1041,2,44,42
1807,1042,10,52,42
1807,1043,7,57,50
1806,1049,2,60,58
1806,1050,7,83,76
1807,1050,19,54,35
1806,1051,6,51,45
1805,1056,6,38,32
1806,1056,10,58,48
1806,1064,3,130,127
1807,1064,13,160,147
1808,1064,3,81,78
1808,1065,4,57,53
1808,1101,2,66,64
1808,1102,9,46,37
1809,1108,1,32,31
1808,1115,13,79,66
1809,1115,12,56,44
1808,1116,19,54,35
1809,1122,5,42,37
1809,1123,8,42,34
1809,1129,8,39,31
1809,1130,19,57,38
1809,1144,3,65,62
1810,1144,3,75,72
1809,1145,5,44,39
1810,1145,6,53,47
1810,1152,2,38,36
1811,1159,9,40,31
1810,1188,2,35,33
1812,1188,6,44,38
1810,1202,1,41,40
1812,1202,5,40,35
1812,1209,13,53,40
1811,1217,11,55,44
1812,1217,11,55,44
