X,Y,Subtracted,Original 1,Original 2
1790,836,1,53,52
1791,836,1,107,106
1791,837,9,76,67
1793,837,3,43,40
1792,842,10,77,67
1793,842,8,46,38
1791,843,46,91,45
1792,843,1,138,137
1793,843,14,91,77
1791,844,17,52,35
1793,844,3,44,41
1793,849,3,38,35
1793,850,8,81,73
1794,850,7,50,43
1793,851,3,66,63
1794,851,4,39,35
1793,857,5,88,83
1793,858,12,61,49
1794,858,7,55,48
1793,864,4,104,100
1794,864,7,120,113
1795,864,9,79,70
1795,865,3,50,47
1795,871,2,152,150
1796,871,6,52,46
1794,872,2,56,54
1794,877,21,92,71
1796,877,27,91,64
1795,878,15,164,149
1794,879,15,69,54
1796,879,16,85,69
1796,884,5,94,89
1795,885,1,140,139
1796,885,4,154,150
1797,885,1,86,85
1795,886,4,80,76
1796,886,2,85,83
1797,886,5,44,39
1794,891,6,52,46
1795,891,4,144,140
1796,891,1,105,104
1796,892,2,97,95
1797,892,5,121,116
1798,892,2,60,58
1797,893,4,121,117
1798,893,2,52,50
1796,905,1,46,45
1797,905,2,80,78
1796,906,5,71,66
1797,906,9,124,115
1796,907,5,42,37
1797,907,10,72,62
1798,907,4,52,48
1796,913,3,72,69
1798,913,5,157,152
1799,913,24,114,90
1796,914,1,39,38
1797,914,1,86,85
1798,914,9,97,88
1799,914,30,80,50
1797,919,13,75,62
1798,919,9,83,74
1799,919,15,68,53
1798,920,3,93,90
1798,921,6,100,94
1799,921,2,102,100
1800,921,7,44,37
1797,927,9,46,37
1799,927,4,98,94
1798,928,3,66,63
1800,928,5,42,37
1799,933,4,62,58
1798,934,4,62,58
1799,934,9,109,100
1798,941,3,47,44
1800,941,2,99,97
1801,941,2,56,54
1800,942,3,85,82
1801,942,2,45,43
1799,948,3,59,56
1800,948,7,74,67
1801,948,11,46,35
1799,949,2,74,72
1800,955,21,67,46
1801,955,9,75,66
1801,956,4,103,99
1802,956,10,60,50
1801,962,6,59,53
1802,962,3,49,46
1801,963,11,88,77
1802,963,6,71,65
1801,964,2,53,51
1802,964,1,39,38
1802,969,2,60,58
1800,970,7,63,56
1801,970,5,105,100
1802,970,1,108,107
1803,970,1,54,53
1800,971,14,47,33
1801,971,8,78,70
1802,976,8,51,43
1804,977,8,42,34
1801,978,16,56,40
1802,978,1,80,79
1802,983,5,55,50
1801,984,8,43,35
1801,985,9,68,59
1803,985,5,106,101
1802,999,6,45,39
1803,999,16,94,78
1804,1000,7,46,39
1804,1005,5,54,49
1804,1006,11,97,86
1805,1006,5,51,46
1803,1007,2,67,65
1804,1007,15,80,65
1805,1007,4,50,46
1805,1013,1,56,55
1804,1014,7,71,64
1805,1014,16,52,36
1804,1020,1,76,75
1804,1021,12,93,81
1804,1022,11,55,44
1804,1027,12,56,44
1805,1027,4,67,63
1806,1027,2,34,32
1804,1028,2,63,61
1805,1028,6,96,90
1806,1028,2,60,58
1805,1029,7,52,45
1806,1029,5,39,34
1805,1034,2,45,43
1806,1034,1,35,34
1806,1041,2,49,47
1806,1042,2,91,89
1807,1042,2,64,62
1805,1043,1,80,79
1806,1043,4,82,78
1805,1049,10,66,56
1805,1057,10,63,53
1807,1057,27,76,49
1807,1058,19,56,37
1806,1063,6,80,74
1808,1063,23,60,37
1806,1064,8,88,80
1806,1065,9,65,56
1807,1065,17,118,101
1807,1077,2,34,32
1807,1078,1,65,64
1808,1078,3,41,38
1807,1079,1,61,60
1807,1093,6,44,38
1808,1093,7,74,67
1809,1093,6,39,33
1808,1094,6,56,50
1808,1100,1,44,43
1808,1108,7,44,37
1808,1115,13,62,49
1809,1115,3,43,40
1809,1121,2,34,32
1809,1122,7,59,52
1810,1122,9,46,37
1809,1123,6,43,37
1809,1129,14,49,35
1809,1130,12,58,46
1810,1130,10,53,43
1809,1144,2,50,48
1810,1145,2,36,34
1809,1151,3,40,37
1809,1159,6,47,41
1810,1159,1,62,61
1809,1173,4,43,39
1810,1173,2,71,69
1811,1173,4,67,63
1811,1179,11,68,57
1811,1180,4,87,83
1811,1187,11,68,57
1811,1188,12,75,63
1811,1189,11,42,31
1810,1202,7,38,31
1811,1202,3,57,54
1811,1203,6,39,33
1811,1216,1,51,50
1812,1216,5,51,46
1811,1231,6,38,32
1812,1231,1,41,40
